Year,Austria,Belgium,Finland,France,Germany,Greece,Ireland,Italy,Netherlands,Norway,Spain,Sweden,Switzerland,UK ,Canada,US,Japan,Australia,New Zealand,Portugal,Czech Republic,Hungary,Poland,Russia,Brazil,Chile,Colombia,Mexico,Peru,Israel,Turkey,China,India,South Korea,Malaysia,Philippines,Thailand,Egypt,South Africa
2000,67.29,59.82,70.52,64.93,67.28,56.5,61.67,57.91,63.84,70.04,60.89,68.34,69.11,67.55,65.23,65.69,63.5,63.93,67.31,55.41,57.82,56.37,56.31,52.54,49.68,54.55,43.07,48.57,42.91,60.58,49.02,48.4,42.95,59.91,51.08,40.82,48.61,44.78,48.06
2001,67.7,60.06,70.7,65.03,67.26,56.9,61.75,58.0,63.02,70.27,60.89,68.72,69.26,67.48,65.86,64.45,63.39,65.4,68.02,55.86,58.69,57.02,56.44,53.54,49.86,55.03,43.26,48.77,42.92,60.04,49.06,48.31,42.63,60.61,51.53,41.04,48.56,44.56,47.96
2002,68.05,60.47,70.94,64.96,67.43,57.22,61.89,58.11,63.68,71.59,61.04,69.24,69.42,67.67,65.87,64.63,63.35,64.4,67.93,56.91,59.48,57.41,56.81,54.48,50.23,55.65,43.59,49.13,43.05,59.89,49.16,48.35,42.28,61.02,52.08,41.37,48.67,44.46,48.02
2003,67.96,60.75,71.12,64.96,67.16,57.27,61.82,58.7,63.6,71.53,61.05,69.49,69.27,67.48,65.83,64.53,64.11,65.03,69.17,56.86,59.84,56.97,56.62,54.83,50.22,55.23,43.42,49.13,43.34,59.96,49.84,48.0,42.64,61.38,52.6,40.84,48.4,44.01,48.14
2004,68.26,61.13,71.17,65.3,67.23,57.48,61.74,58.69,63.54,71.63,61.06,69.63,69.25,67.31,66.53,64.35,64.55,65.81,69.72,56.83,59.68,57.13,56.26,54.6,50.01,55.45,43.86,49.77,43.75,60.26,50.16,48.35,42.75,62.02,52.78,40.65,48.2,44.17,48.43
2005,68.78,60.86,71.84,65.48,67.64,57.1,62.29,59.35,64.05,72.61,61.43,70.03,69.86,67.12,66.98,66.5,65.81,66.42,70.28,56.82,60.03,57.18,56.58,57.45,51.12,56.18,44.8,50.12,43.62,59.81,51.55,50.0,44.43,62.61,52.41,41.11,48.45,43.95,47.91
2006,70.37,62.17,73.71,66.49,69.85,58.36,65.08,59.85,65.36,74.96,61.94,72.14,72.07,69.34,69.5,69.29,69.65,68.64,73.05,57.26,60.57,58.35,56.57,61.57,54.88,57.09,43.92,54.07,44.82,60.86,51.83,54.21,48.04,64.14,52.92,40.62,48.35,42.01,47.96
2007,70.98,62.53,73.72,67.42,70.22,58.31,66.07,59.98,65.83,75.14,62.08,72.3,72.74,69.32,69.37,69.34,69.91,69.06,73.62,58.42,61.05,58.25,57.26,61.94,55.55,57.74,44.33,54.23,45.06,61.75,52.56,55.1,48.08,65.25,52.61,40.85,48.47,42.66,47.83
2008,70.88,63.01,73.95,67.66,70.11,58.23,65.95,59.65,66.68,75.32,62.26,72.19,72.63,69.17,69.78,69.83,70.0,69.48,73.88,59.46,61.54,58.5,58.05,62.64,56.19,57.99,45.07,54.24,45.4,61.84,53.26,56.23,48.4,65.26,52.57,40.6,48.76,44.17,47.69
2009,69.97,63.28,73.76,67.67,69.8,58.17,65.59,59.45,65.76,75.21,61.78,72.09,72.46,68.64,69.69,69.53,70.19,69.02,74.19,59.76,61.22,58.88,58.47,61.89,56.12,57.89,45.92,54.51,44.9,61.04,53.47,57.09,48.46,65.59,53.32,40.99,49.75,44.69,47.78
